# BRDF Data for aluminum in visible spectrum
#
# Data from "A Data-Driven Reflectance Model", 
#   Wojciech Matusik, Hanspeter Pfister, Matt Brand 
#   and Leonard McMillan, ACM Transactions on 
#   Graphics 22, 3(2003), 759-769.
#
# phi_in     theta_in     phi_out     theta_out     brdf
11.250000     180.000000     -7.031250     0.000000     0.047501
11.250000     180.000000     -6.328125     0.000000     0.047501
11.250000     180.000000     -5.625000     0.000000     0.057139
11.250000     180.000000     -4.921875     0.000000     0.069594
11.250000     180.000000     -4.218750     0.000000     0.069594
11.250000     180.000000     -3.515625     0.000000     0.084990
11.250000     180.000000     -2.812500     0.000000     0.085064
11.250000     180.000000     -2.109375     0.000000     0.102746
11.250000     180.000000     -1.406250     0.000000     0.124178
11.250000     180.000000     -0.703125     0.000000     0.124140
11.250000     180.000000     0.000000     0.000000     0.147361
11.250000     180.000000     0.703125     0.000000     0.180655
11.250000     180.000000     1.406250     0.000000     0.182184
11.250000     180.000000     2.109375     0.000000     0.226581
11.250000     180.000000     2.812500     0.000000     0.284340
11.250000     180.000000     3.515625     0.000000     0.355768
11.250000     180.000000     4.218750     0.000000     0.452929
11.250000     180.000000     4.921875     0.000000     0.571160
11.250000     180.000000     5.625000     0.000000     0.752438
11.250000     180.000000     6.328125     0.000000     0.977602
11.250000     180.000000     7.031250     0.000000     1.335352
11.250000     180.000000     7.734375     0.000000     1.817820
11.250000     180.000000     8.437500     0.000000     2.538789
11.250000     180.000000     9.140625     0.000000     5.081726
11.250000     180.000000     9.843750     0.000000     10.620090
11.250000     180.000000     10.546875     0.000000     28.114658
11.250000     180.000000     11.250000     0.000000     225.001724
11.250000     180.000000     11.953125     0.000000     26.958202
11.250000     180.000000     12.656250     0.000000     10.336641
11.250000     180.000000     13.359375     0.000000     4.827574
11.250000     180.000000     14.062500     0.000000     2.402421
11.250000     180.000000     14.765625     0.000000     1.717425
11.250000     180.000000     15.468750     0.000000     1.288979
11.250000     180.000000     16.171875     0.000000     0.957200
11.250000     180.000000     16.875000     0.000000     0.733868
11.250000     180.000000     17.578125     0.000000     0.558773
11.250000     180.000000     18.281250     0.000000     0.454357
11.250000     180.000000     18.984375     0.000000     0.365965
11.250000     180.000000     19.687500     0.000000     0.295019
11.250000     180.000000     20.390625     0.000000     0.244629
11.250000     180.000000     21.093750     0.000000     0.199156
11.250000     180.000000     21.796875     0.000000     0.199156
11.250000     180.000000     22.500000     0.000000     0.162438
11.250000     180.000000     23.203125     0.000000     0.133642
11.250000     180.000000     23.906250     0.000000     0.133642
11.250000     180.000000     24.609375     0.000000     0.107945
11.250000     180.000000     25.312500     0.000000     0.087013
11.250000     180.000000     26.015625     0.000000     0.087013
11.250000     180.000000     26.718750     0.000000     0.070904
11.250000     180.000000     27.421875     0.000000     0.069542
11.250000     180.000000     28.125000     0.000000     0.056969
11.250000     180.000000     28.828125     0.000000     0.046796
11.250000     180.000000     29.531250     0.000000     0.046796
11.250000     180.000000     30.234375     0.000000     0.039955
11.250000     180.000000     30.937500     0.000000     0.040779
11.250000     180.000000     31.640625     0.000000     0.034429
11.250000     180.000000     32.343750     0.000000     0.034429
11.250000     180.000000     33.046875     0.000000     0.029954
11.250000     180.000000     33.750000     0.000000     0.029954
